step , loss 
7763 , 17.72
7764 , 43.97
7765 , 32.63
7766 , 27.91
7767 , 47.45
7768 , 21.02
7769 , 21.65
7770 , 23.24
7771 , 32.81
7772 , 25.97
7773 , 41.01
7774 , 37.57
7775 , 29.08
7776 , 22.88
8641 , 22.92
8642 , 49.99
8643 , 23.96
8644 , 37.64
8645 , 18.04
8646 , 18.19
8647 , 42.83
8648 , 29.28
8649 , 29.14
8650 , 36.07
8651 , 32.51
8652 , 86.01
8653 , 30.58
8654 , 24.45
8655 , 49.12
8656 , 31.93
8657 , 45.02
8658 , 15.54
8659 , 49.20
8660 , 23.45
8661 , 61.26
8662 , 30.11
8663 , 24.70
8664 , 17.69
8665 , 43.24
8666 , 21.69
8667 , 18.54
8668 , 38.66
8669 , 19.91
8670 , 21.57
8671 , 25.17
8672 , 14.84
8673 , 24.77
8674 , 13.22
8675 , 12.43
8676 , 39.48
8677 , 31.87
8678 , 33.51
8679 , 14.50
8680 , 30.35
8681 , 40.77
8682 , 50.80
8683 , 34.37
8684 , 41.96
8685 , 23.98
8686 , 36.62
8687 , 49.24
8688 , 50.57
8689 , 15.33
8690 , 22.02
8691 , 29.27
8692 , 31.56
8693 , 41.26
8694 , 51.51
8695 , 37.95
8696 , 39.98
8697 , 16.73
8698 , 52.22
8699 , 18.59
8700 , 33.53
8701 , 50.72
8702 , 21.47
8703 , 28.44
8704 , 30.44
8705 , 27.21
8706 , 13.16
8707 , 18.16
8708 , 24.62
8709 , 30.75
8710 , 25.38
8711 , 19.59
8712 , 55.09
8713 , 22.01
8714 , 17.02
8715 , 36.31
8716 , 23.48
8717 , 30.77
8718 , 26.22
8719 , 24.79
8720 , 16.49
8721 , 21.57
8722 , 16.47
8723 , 15.32
8724 , 38.72
8725 , 32.52
8726 , 27.52
8727 , 47.62
8728 , 18.74
8729 , 23.05
8730 , 27.92
8731 , 36.66
8732 , 23.31
8733 , 36.04
8734 , 34.18
8735 , 24.25
8736 , 25.86
9601 , 23.33
9602 , 22.47
9603 , 27.04
9604 , 33.38
9605 , 16.30
9606 , 18.54
9607 , 42.96
9608 , 26.50
9609 , 26.47
9610 , 21.49
9611 , 23.47
9612 , 79.88
